Timestamp,Gender,How old are you,where do you live,Education level,Employment,Monthly income,how often do you visit the bank,Do you use a banking application,which banking app do you use the most,How did you get to know about the application,why do you use the mobile banking,transactions through the application monthly,do you feel your  app is secure,is you application very complex,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Are you satisfied with the app
10/12/2020 16:29:54,Male,25-30,Colombo,Degree,Student,Not Applicable,once every few months,Yes,peoples bank,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Maybe,No,4,Yes
10/12/2020 16:31:43,Male,25-30,Galle,Degree,Technology related,between 100000 - 250000,once every few months,Yes,NTB,friend,"transfer money to other accounts, check balance",50000 - 100000,Yes,No,4,Yes
10/12/2020 16:32:55,Female,25-30,Jaffna,Degree,Technology related,between 50000 - 100000,once every few months,Yes,BOC,Boyfriend ,"pay bills, transfer money to other accounts, check balance, recharge your phone",25000 - 50000,Maybe,No,4,Maybe
10/12/2020 16:34:07,Male,25-30,Gampaha,Degree,Student,Not Applicable,once a week,Yes,BOC,friend,"transfer money to other accounts, check balance",10000 -25000,Yes,Yes,2,No
10/12/2020 16:35:16,Male,25-30,Colombo,Degree,Technology related,less than 20000,once every few months,Yes,Commercial Bank,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Maybe,No,4,Maybe
10/12/2020 16:37:16,Male,25-30,Gampaha,Diploma,Technology related,between 50000 - 100000,once a week,Yes,BOC,Relative,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Yes,Yes,3,Yes
10/12/2020 16:39:26,Male,25-30,Gampaha,Degree,Management related,between 50000 - 100000,daily,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",10000 -25000,Yes,No,5,Yes
10/12/2020 16:39:27,Female,25-30,Colombo,Degree,Technology related,between 50000 - 100000,once every few months,Yes,HNB,from the bank,transfer money to other accounts,5000 -10000,Yes,No,4,Yes
10/12/2020 16:41:44,Male,30-35,Matale,Degree,Technology related,between 20000 - 50000,never,Yes,sampath,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",10000 -25000,Maybe,No,3,Maybe
10/12/2020 16:42:20,Female,25-30,Ampara,Diploma,other,between 20000 - 50000,once every few months,Yes,peoples bank,from the bank,check balance,below 5000,Maybe,Yes,1,No
10/12/2020 16:42:46,Female,18-25,Colombo,Degree,Technology related,between 100000 - 250000,once a month,Yes,HNB,from the bank,"pay bills, transfer money to other accounts",5000 -10000,Yes,No,4,Yes
10/12/2020 16:43:02,Male,18-25,Jaffna,Diploma,Student,Not Applicable,once every few months,Yes,BOC,friend,N/A,100000 - 200000,Maybe,Maybe,3,Yes
10/12/2020 16:45:59,Female,18-25,Vavuniya,Degree,Technology related,between 50000 - 100000,once a month,No,,,,,,,,
10/12/2020 16:47:01,Male,25-30,Colombo,Diploma,other,between 50000 - 100000,never,Yes,HNB,from the bank,"pay bills, transfer money to other accounts, check balance, recharge your phone, for credit card",25000 - 50000,Yes,Maybe,4,Yes
10/12/2020 16:47:38,Female,25-30,Badulla,Diploma,other,between 20000 - 50000,once a month,Yes,sampath,from the bank,"pay bills, transfer money to other accounts, recharge your phone",below 5000,Maybe,No,4,Yes
10/12/2020 16:55:08,Male,18-25,Colombo,Diploma,Student,Not Applicable,once a month,Yes,BOC,friend,"pay bills, transfer money to other accounts, check balance, recharge your phone",5000 -10000,Yes,No,5,Yes
